,id,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,event_day,media_goals_home,media_victories_home,media_goals_away,media_victories_away,h2h_mean,home_h2h_mean,away_h2h_mean,res_goals_over_under,asian_handicap1_1,asian_handicap1_2,asian_handicap2_1,asian_handicap2_2,diff_goals,classificacao_ah1,classificacao_ah2,ah1_positivo,ah1_negativo,ah1_reembolso,ah1_indefinido,ah1_meio_ganho,ah1_meia_perda,ah2_positivo,ah2_negativo,ah2_reembolso,ah2_indefinido,ah2_meio_ganho,ah2_meia_perda,goal_line1_1,goal_line1_2,goal_line2_1,goal_line2_2,classificacao_gl1,classificacao_gl2,gl1_positivo,gl1_negativo,gl1_reembolso,gl1_indefinido,gl1_meio_ganho,gl1_meia_perda,gl2_positivo,gl2_negativo,gl2_reembolso,gl2_indefinido,gl2_meio_ganho,gl2_meia_perda,res_double_chance1,res_double_chance2,res_double_chance3,res_draw_no_bet1,res_draw_no_bet2,dnb1_ganha,dnb1_perde,dnb1_reembolso,dnb1_indefinido,dnb2_ganha,dnb2_perde,dnb2_reembolso,dnb2_indefinido
63,173642503,11261007,11258979,3.0,6.0,9.0,2.5,1.050,8.500,Chelsea (Jetli) or Draw,1.500,Draw or Newcastle (Mariner),1.700,Chelsea (Jetli) or Newcastle (Mariner),1.100,1,1.727,2,2.000,,,,,,,,,,,,,20250426,,,,,,,,True,,,,,-3.0,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
66,173642509,11253172,11258979,3.0,5.0,8.0,2.5,1.040,9.000,Man City (Razvan) or Draw,1.600,Draw or Newcastle (Mariner),1.600,Man City (Razvan) or Newcastle (Mariner),1.083,1,1.833,2,1.833,,,,,,,,,,,,,20250426,,,,,,,,True,,,,,-2.0,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
68,173642516,11253172,11261007,2.0,3.0,5.0,2.5,1.071,7.500,Man City (Razvan) or Draw,1.600,Draw or Chelsea (Jetli),1.533,Man City (Razvan) or Chelsea (Jetli),1.111,1,1.909,2,1.800,0.0,1,1.900,0.0,2,1.800,"5.0, 5.5",1.0,1.800,"5.0, 5.5",2.0,1.900,20250426,,,,,,,,True,0.0,0.0,0.0,0.0,-1.0,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,5.0,5.5,5.0,5.5,meia_perda,meio_ganho,False,False,False,False,False,True,False,False,False,False,True,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
76,173642569,11258979,11253172,4.0,3.0,7.0,2.5,1.025,10.500,Newcastle (Mariner) or Draw,1.500,Draw or Man City (Razvan),1.600,Newcastle (Mariner) or Man City (Razvan),1.111,1,1.800,2,1.909,0.0,1,1.775,0.0,2,1.925,6.5,1.0,1.825,6.5,2.0,1.875,20250426,,,,,,,,True,0.0,0.0,0.0,0.0,1.0,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,6.5,6.5,6.5,6.5,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
77,173642572,11261007,11272361,0.0,4.0,4.0,2.5,1.071,7.500,Chelsea (Jetli) or Draw,2.250,Draw or Arsenal (Giant),1.200,Chelsea (Jetli) or Arsenal (Giant),1.111,1,3.400,2,1.300,+1.0,1,1.900,-1.0,2,1.800,"5.0, 5.5",1.0,1.800,"5.0, 5.5",2.0,1.900,20250426,,,,,,,,True,1.0,1.0,-1.0,-1.0,-4.0,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,5.0,5.5,5.0,5.5,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
80,173642587,11252535,11253172,3.0,3.0,6.0,2.5,1.071,7.500,Nottm Forest (Sensei) or Draw,1.333,Draw or Man City (Razvan),1.833,Nottm Forest (Sensei) or Man City (Razvan),1.125,1,1.500,2,2.500,-0.5,1,1.825,+0.5,2,1.875,5.5,1.0,1.900,5.5,2.0,1.800,20250426,,,,,,,,True,-0.5,-0.5,0.5,0.5,0.0,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,5.5,5.5,5.5,5.5,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,1,1,0,reembolso,reembolso,False,False,True,False,False,False,True,False
180,173644742,11230386,11251599,2.0,4.0,6.0,2.5,1.100,6.500,Argentina (cl1vlind) or Draw,1.285,Draw or Germany (nikkitta),1.615,Argentina (cl1vlind) or Germany (nikkitta),1.250,1,1.533,2,2.375,,,,,,,,,,,,,20250426,,,,,,,,True,,,,,-2.0,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
181,173644754,11235558,11230386,4.0,1.0,5.0,2.5,1.062,8.000,Italy (Koftovsky) or Draw,1.571,Draw or Argentina (cl1vlind),1.444,Italy (Koftovsky) or Argentina (cl1vlind),1.166,1,2.000,2,1.727,"0.0, +0.5",1,1.775,"0.0, -0.5",2,1.925,5.5,1.0,1.850,5.5,2.0,1.850,20250426,,,,,,,,True,0.0,0.5,0.0,-0.5,3.0,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,5.5,5.5,5.5,5.5,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
221,173644918,11235654,11230480,5.0,1.0,6.0,2.5,1.050,8.500,Mexico (Koftovsky) or Draw,1.500,Draw or Croatia (cl1vlind),1.500,Mexico (Koftovsky) or Croatia (cl1vlind),1.166,1,1.833,2,1.833,0.0,1,1.850,0.0,2,1.850,"5.5, 6.0",1.0,1.900,"5.5, 6.0",2.0,1.800,20250426,,,,,,,,True,0.0,0.0,0.0,0.0,4.0,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,5.5,6.0,5.5,6.0,meio_ganho,meia_perda,False,False,False,False,True,False,False,False,False,False,False,True,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
246,173683257,11241103,11244495,2.0,2.0,4.0,2.5,1.125,5.500,Man City (Boki) or Draw,1.400,Draw or PSG (Bolec),1.800,Man City (Boki) or PSG (Bolec),1.125,1,1.615,2,2.200,-0.5,1,1.900,+0.5,2,1.800,4.5,1.0,1.800,4.5,2.0,1.900,20250426,,,,,,,,True,-0.5,-0.5,0.5,0.5,0.0,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,4.5,4.5,4.5,4.5,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,1,1,0,reembolso,reembolso,False,False,True,False,False,False,True,False
247,173683260,11244495,11249958,2.0,2.0,4.0,2.5,1.142,5.000,PSG (Bolec) or Draw,2.000,Draw or Real Madrid (Hyper),1.200,PSG (Bolec) or Real Madrid (Hyper),1.166,1,3.000,2,1.363,"+0.5, +1.0",1,1.850,"-0.5, -1.0",2,1.850,4.5,1.0,1.825,4.5,2.0,1.875,20250426,,,,,,,,True,0.5,1.0,-0.5,-1.0,0.0,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,4.5,4.5,4.5,4.5,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,1,1,0,reembolso,reembolso,False,False,True,False,False,False,True,False
251,173683276,11241103,11241718,2.0,3.0,5.0,2.5,1.050,8.500,Man City (Boki) or Draw,1.222,Draw or Boca Juniors (Glumac),1.950,Man City (Boki) or Boca Juniors (Glumac),1.166,1,1.363,2,3.000,,,,,,,,,,,,,20250426,,,,,,,,True,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
256,173683305,11245778,11241718,4.0,2.0,6.0,2.5,1.100,6.500,River Plate (Peconi) or Draw,1.909,Draw or Boca Juniors (Glumac),1.363,River Plate (Peconi) or Boca Juniors (Glumac),1.100,1,2.375,2,1.533,,,,,,,,,,,,,20250426,,,,,,,,True,,,,,2.0,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
267,173698146,11244532,11242555,2.0,1.0,3.0,2.5,1.166,4.500,Roma (Bolec) or Draw,1.600,Draw or Man Utd (Boki),1.444,Roma (Bolec) or Man Utd (Boki),1.166,1,2.000,2,1.727,,,,,,,,,,,,,20250426,,,,,,,,True,,,,,1.0,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
274,173698173,11244532,11242555,1.0,1.0,2.0,2.5,1.222,4.000,Roma (Bolec) or Draw,1.700,Draw or Man Utd (Boki),1.363,Roma (Bolec) or Man Utd (Boki),1.142,1,2.200,2,1.615,"0.0, +0.5",1,1.900,"0.0, -0.5",2,1.800,4.0,1.0,1.825,4.0,2.0,1.875,20250426,,,,,,,,False,0.0,0.5,0.0,-0.5,0.0,meio_ganho,meia_perda,False,False,False,False,True,False,False,False,False,False,False,True,4.0,4.0,4.0,4.0,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,1,1,0,reembolso,reembolso,False,False,True,False,False,False,True,False
283,173698228,11248252,11244572,3.0,1.0,4.0,2.5,1.125,5.500,Man Utd (Hyper) or Draw,1.181,Draw or Arsenal (Bolec),1.950,Man Utd (Hyper) or Arsenal (Bolec),1.181,1,1.333,2,3.250,"-0.5, -1.0",1,1.850,"+0.5, +1.0",2,1.850,"4.5, 5.0",1.0,1.900,"4.5, 5.0",2.0,1.800,20250426,,,,,,,,True,-0.5,-1.0,0.5,1.0,2.0,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,4.5,5.0,4.5,5.0,negativo,positivo,False,True,False,False,False,False,True,False,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
284,173698230,11241836,11241835,4.0,3.0,7.0,2.5,1.111,6.000,Chelsea (Boki) or Draw,1.181,Draw or Liverpool (Glumac),1.950,Chelsea (Boki) or Liverpool (Glumac),1.181,1,1.333,2,3.250,"-0.5, -1.0",1,1.850,"+0.5, +1.0",2,1.850,5.0,1.0,1.900,5.0,2.0,1.800,20250426,,,,,,,,True,-0.5,-1.0,0.5,1.0,1.0,meio_ganho,meia_perda,False,False,False,False,True,False,False,False,False,False,False,True,5.0,5.0,5.0,5.0,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
339,173687442,11259444,11259445,,,,2.5,1.363,3.000,Napoli (Delpiero) or Draw,1.600,Draw or Lazio (Lucas),1.300,Napoli (Delpiero) or Lazio (Lucas),1.250,1,2.250,2,1.571,"0.0, +0.5",1,1.850,"0.0, -0.5",2,1.850,3.5,1.0,1.825,3.5,2.0,1.875,20250427,,,,,,,,False,0.0,0.5,0.0,-0.5,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,3.5,3.5,3.5,3.5,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,0,1,indefinido,indefinido,False,False,False,True,False,False,False,True
